,식품명,식품대분류,식품상세분류,1회제공량,내용량_단위,에너지,탄수화물,총당류,지방,리놀레산,알파_리놀렌산,EPA+DHA,단백질,수분,총_식이섬유,비타민_A,비타민_D3,비타민_E,비타민:_C,비타민_B1,비타민_B2,나이아신,엽산,비타민_B12,칼슘,인,나트륨,칼륨,마그네슘,철,아연,구리,망간,셀레늄
0,닭갈비,구이류,육류구이,400.0,g,595.61,44.9,21.2,25.8,4.85,0.44,0.04,45.9,276.4,11.6,2171.98,0.0,6.86,5.54,0.24,0.37,1.23,108.13,1.12,98.64,505.25,1535.83,1200.24,104.42,0.003,3.55,0.34,0.97,57.56
1,닭갈비,구이류,육류구이,300.0,g,558.47,23.1,8.5,31.6,5.43,0.39,0.07,45.5,195.4,6.6,568.89,0.0,3.81,0.0,0.22,0.38,2.96,57.96,0.0,63.06,421.66,1016.94,818.11,77.07,0.002,3.59,0.24,0.41,51.18
2,닭꼬치,구이류,육류구이,70.0,g,176.72,13.35,3.15,8.57,1.9,0.2,0.0,11.56,35.31,2.07,60.85,0.0,0.0,0.0,0.23,0.18,1.71,0.0,0.0,17.68,122.8,286.91,152.66,0.0,0.008,0.0,0.0,0.0,0.0
3,더덕구이,구이류,채소류구이,100.0,g,184.0,31.1,11.6,5.2,2.3,0.4,0.0,3.1,58.1,6.8,481.44,0.0,5.36,1.34,0.23,0.08,0.18,16.77,0.0,46.42,88.17,743.37,262.44,38.21,0.001,0.59,0.13,0.42,0.0
4,도미구이,구이류,어패류구이,250.0,g,397.0,2.1,0.0,16.5,1.9,0.3,1.6,61.1,163.3,5.9,67.95,0.0,3.76,0.84,0.1,0.27,6.35,37.98,7.45,158.8,690.91,1582.17,1108.02,120.37,0.001,1.45,0.06,0.06,281.39
5,돼지갈비,구이류,육류구이,100.0,g,240.32,8.1,4.5,14.4,1.72,0.07,0.06,19.5,56.3,0.3,4.96,0.0,0.64,0.0,0.31,0.14,0.17,5.37,0.0,47.21,156.16,404.66,280.71,20.74,0.001,2.75,0.07,0.1,41.24
6,병어구이,구이류,어패류구이,250.0,g,488.0,0.2,0.0,30.8,2.0,0.3,3.4,54.6,157.7,0.7,60.74,0.0,3.73,1.41,0.12,0.21,4.38,38.25,7.73,80.44,627.82,1567.94,984.65,118.57,0.001,1.91,0.06,0.07,224.19
7,불고기,구이류,육류구이,150.0,g,395.29,7.8,7.9,25.2,3.11,0.08,0.01,34.4,80.1,1.2,29.1,0.0,2.81,0.0,0.08,0.24,2.26,10.23,0.0,12.31,300.71,560.71,580.55,36.22,0.004,9.74,2.06,0.1,49.08
8,붕장어소금구이,구이류,어패류구이,100.0,g,296.54,11.6,0.4,16.2,0.38,0.17,1.43,26.0,44.3,1.0,440.88,0.0,3.46,0.0,0.0,0.11,0.47,12.64,0.0,164.09,345.83,124.75,544.71,37.38,0.0,1.44,0.03,0.15,145.28
9,소양념갈비구이,구이류,육류구이,300.0,g,989.15,26.2,13.9,71.6,2.38,0.26,0.02,60.1,137.0,7.5,66.18,0.0,2.17,0.27,0.25,0.37,0.49,27.81,8.2,85.27,412.97,1378.45,632.12,59.1,0.006,19.04,0.23,0.22,127.75
10,양념왕갈비,구이류,육류구이,150.0,g,480.81,13.7,6.8,35.3,1.3,0.09,0.01,27.1,71.8,1.4,18.07,0.0,1.1,0.0,0.0,0.1,0.26,9.3,0.0,31.21,174.75,548.76,283.01,26.29,0.003,8.26,0.11,0.07,47.92
11,양념장어구이,구이류,어패류구이,150.0,g,433.35,8.8,4.18,30.56,0.9,0.2,0.7,30.77,76.66,1.31,1632.66,0.0,0.0,0.19,0.46,0.68,7.23,0.0,0.0,215.4,381.33,704.64,415.97,0.0,0.009,0.0,0.0,0.0,0.0
12,임연수구이,구이류,어패류구이,250.0,g,494.0,3.5,0.0,29.4,3.4,0.6,2.6,53.8,156.2,1.0,40.14,0.0,5.52,0.69,0.15,0.54,4.82,24.87,18.23,267.44,754.08,1568.96,959.35,112.24,0.002,1.66,0.18,0.09,204.51
13,짚불구이곰장어,구이류,어패류구이,200.0,g,326.21,2.3,1.2,16.2,0.21,0.05,0.92,42.7,135.1,8.5,2202.95,0.0,2.2,1.6,0.0,0.8,0.0,83.67,0.0,29.52,371.67,826.79,641.05,73.72,0.006,4.14,0.63,1.17,174.74
14,햄버그스테이크,구이류,육류구이,200.0,g,457.7,20.76,5.33,29.65,4.3,0.4,0.1,26.96,118.82,5.67,105.4,0.0,2.76,2.77,0.62,0.26,5.97,0.0,0.0,82.51,365.08,950.22,553.92,48.81,0.003,2.97,0.24,0.48,0.0
15,황태구이,구이류,어패류구이,200.0,g,437.57,26.9,14.2,15.4,6.4,1.18,0.46,47.8,104.6,3.0,913.42,0.0,10.52,0.0,0.06,0.18,0.04,19.3,3.68,280.1,425.07,1135.33,621.65,82.09,0.002,1.81,0.19,0.38,144.87
16,훈제오리,구이류,육류구이,250.0,g,797.14,12.08,0.27,64.07,7.8,0.5,0.1,43.06,126.47,1.36,85.08,0.0,1.64,47.71,0.6,0.6,8.35,0.0,0.0,38.49,623.67,1220.37,496.43,41.16,0.004,4.23,0.63,0.12,0.0
17,게국지,국 및 탕류,어패류국.탕,1100.0,g,415.25,31.7,10.8,12.1,0.73,1.03,0.88,44.9,994.8,24.4,2392.78,0.0,13.07,0.0,0.0,0.62,0.0,166.89,0.0,1320.57,695.81,4047.26,1581.61,273.74,0.01,11.03,4.27,2.74,297.91
18,곰치국,국 및 탕류,어패류국.탕,1000.0,g,419.29,23.9,2.8,11.8,0.6,0.1,1.16,54.3,895.0,18.7,2953.58,0.0,9.06,1.96,0.51,0.51,1.04,79.56,0.0,711.95,1028.2,3802.06,1352.68,176.15,0.003,4.15,0.69,0.93,195.6
19,굴국밥,국 및 탕류,어패류국.탕,650.0,g,683.0,88.4,0.3,17.8,2.0,0.3,0.9,42.4,494.6,6.1,1165.72,0.0,9.0,0.0,0.32,0.61,2.68,150.06,0.61,194.25,666.49,1635.39,529.35,125.52,0.013,31.14,7.65,1.83,190.22
20,김치국,국 및 탕류,채소류국.탕,450.0,g,89.0,10.5,2.9,2.8,0.7,0.1,0.0,5.4,425.8,4.5,734.11,0.0,2.28,1.78,0.28,0.15,0.0,33.74,0.15,113.75,116.81,1642.08,516.39,60.98,0.002,0.73,0.14,0.45,41.43
21,떡만둣국,국 및 탕류,기타 국류,700.0,g,624.92,110.71,0.16,11.32,2.1,0.1,0.0,20.06,551.86,8.56,456.67,0.0,0.0,0.0,0.6,1.03,4.59,0.0,0.0,99.72,250.25,1980.19,369.91,0.0,0.021,0.0,0.0,0.0,0.0
22,만둣국,국 및 탕류,기타 국류,700.0,g,434.05,47.83,3.05,17.44,2.7,0.2,0.0,21.43,604.87,32.12,712.55,0.0,0.0,0.0,1.31,0.7,6.51,0.0,0.0,123.61,221.43,2367.99,509.55,0.0,0.026,0.0,0.0,0.0,0.0
23,맑은감자국,국 및 탕류,채소류국.탕,700.0,g,221.0,34.6,5.2,5.5,0.3,0.1,0.0,8.3,644.7,5.1,96.67,0.0,0.66,7.24,0.55,0.15,0.83,66.29,1.46,115.56,159.83,1712.29,1138.53,90.16,0.002,1.31,0.27,0.5,0.03
24,매생이국,국 및 탕류,어패류국.탕,500.0,g,119.0,13.4,0.4,2.8,1.13,0.14,0.12,10.0,468.8,9.6,3641.85,0.0,1.68,3.01,0.18,0.14,2.0,33.09,0.0,125.77,101.15,1420.3,330.05,170.21,0.018,4.81,0.22,0.39,48.76
25,무된장국,국 및 탕류,채소류국.탕,450.0,g,104.0,14.7,5.9,2.4,0.7,0.2,0.0,6.1,421.0,5.9,158.65,0.0,2.04,0.0,0.22,0.12,1.28,32.02,0.12,90.18,127.35,1741.46,553.06,57.27,0.001,0.81,0.17,0.49,28.21
26,미소된장국,국 및 탕류,채소류국.탕,150.0,g,38.0,2.8,0.7,1.8,0.7,0.1,0.0,2.8,141.1,0.8,128.34,0.0,1.08,0.58,0.07,0.03,0.37,5.09,0.03,27.34,39.03,517.03,88.07,15.1,0.001,0.33,0.06,0.18,5.97
27,바지락조개국,국 및 탕류,어패류국.탕,550.0,g,157.0,10.1,1.3,3.1,0.3,0.2,0.3,22.0,508.2,8.0,571.31,0.0,2.74,0.55,0.04,0.17,1.32,48.61,41.75,369.14,266.75,1596.17,394.16,119.82,0.021,2.6,0.27,1.58,185.9
28,뼈다귀해장국,국 및 탕류,육류국.탕,1000.0,g,714.0,23.4,5.7,35.7,6.1,2.0,0.2,74.6,854.7,17.0,1830.66,0.0,7.1,19.87,1.24,0.92,5.72,91.69,0.51,670.27,671.55,3088.21,1199.28,131.35,0.007,11.27,0.66,1.16,0.08
29,선지해장국,국 및 탕류,육류국.탕,1000.0,g,312.0,16.7,3.9,5.4,1.3,0.4,0.0,49.3,919.4,9.5,810.35,0.0,3.96,10.02,0.72,0.32,0.93,72.94,0.69,206.72,238.15,3074.53,641.53,92.03,0.079,2.97,0.44,1.25,0.06
30,무국,국 및 탕류,육류국.탕,400.0,g,123.0,7.8,3.5,4.0,0.3,0.1,0.0,14.2,371.6,3.1,63.25,0.0,0.81,0.0,0.09,0.07,1.32,32.0,1.8,59.21,108.32,1067.02,336.96,42.86,0.002,3.05,0.06,0.25,27.25
31,소고기미역국,국 및 탕류,육류국.탕,650.0,g,151.0,7.7,0.0,5.3,0.4,0.2,0.0,18.1,613.1,8.4,386.74,0.0,0.79,0.0,0.12,0.15,1.48,35.95,2.8,149.32,139.44,1908.91,204.8,95.09,0.003,3.96,0.12,0.12,49.21
32,순대국,국 및 탕류,육류국.탕,800.0,g,540.3,17.26,0.0,33.02,5.2,1.2,0.1,43.52,700.71,26.1,538.25,0.0,0.0,0.0,0.48,0.82,7.31,0.0,0.0,105.32,311.97,1504.04,456.63,0.0,0.073,0.0,0.0,0.0,0.0
33,시래기된장국,국 및 탕류,채소류국.탕,450.0,g,99.0,11.0,1.3,3.1,0.7,0.6,0.0,6.7,424.1,6.0,1705.3,0.0,4.16,0.0,0.3,0.1,1.03,30.85,0.1,213.27,128.65,1523.66,329.45,55.68,0.003,0.92,0.18,1.32,20.41
34,올갱이국,국 및 탕류,어패류국.탕,600.0,g,144.26,13.0,1.6,4.2,0.8,0.2,0.03,13.7,560.2,5.9,2562.52,0.0,4.7,0.0,0.0,0.13,2.31,84.83,0.0,391.17,202.74,2017.16,599.01,189.07,0.014,2.46,1.15,4.09,73.52
35,우거지해장국,국 및 탕류,채소류국.탕,600.0,g,154.38,13.5,2.5,5.9,1.16,0.52,0.0,11.9,561.8,8.5,1700.54,0.0,4.64,0.0,0.17,0.13,0.23,56.84,2.29,198.55,187.07,2049.59,561.3,68.67,0.002,1.64,0.31,0.93,28.49
36,우렁된장국,국 및 탕류,어패류국.탕,500.0,g,245.0,19.2,3.6,7.7,3.2,0.5,0.0,24.6,440.0,8.1,785.52,0.0,8.26,0.19,0.23,0.14,1.09,80.94,1.65,656.62,362.38,2134.21,599.9,147.29,0.006,2.54,1.91,1.53,65.13
37,탕국,국 및 탕류,어패류국.탕,250.0,g,92.15,0.24,0.08,4.27,0.9,0.1,0.0,13.18,229.91,4.22,25.5,0.0,2.3,0.0,0.11,0.18,0.86,13.6,0.0,76.47,114.18,656.75,235.59,35.67,0.002,2.67,0.07,0.36,16.97
38,홍합미역국,국 및 탕류,어패류국.탕,650.0,g,167.0,11.6,0.0,4.7,0.5,0.3,0.3,19.7,607.0,9.5,521.07,0.0,2.54,1.44,0.12,0.31,0.49,66.38,15.02,227.69,375.32,2043.68,246.29,175.68,0.01,3.09,0.22,0.69,165.53
39,황태해장국,국 및 탕류,어패류국.탕,600.0,g,181.7,5.7,1.5,6.8,1.45,0.31,0.17,24.5,557.8,5.4,146.68,0.0,3.7,0.0,0.06,0.13,0.1,48.85,2.76,164.63,251.27,1533.09,503.0,73.68,0.001,1.3,0.15,0.4,49.43
40,고추잡채,볶음류,기타 볶음류,200.0,g,256.77,26.17,2.09,12.01,4.5,0.5,0.0,10.99,148.21,4.57,325.59,0.0,0.0,8.88,0.16,0.19,2.03,0.0,0.0,32.84,108.74,828.55,269.22,0.0,0.025,0.0,0.0,0.0,0.0
41,난자완스,볶음류,육류볶음,200.0,g,346.25,19.15,0.49,20.35,6.4,0.7,0.0,21.63,135.08,3.35,299.71,0.0,0.0,0.0,0.19,0.47,4.01,0.0,0.0,33.73,186.89,703.23,315.76,0.0,0.023,0.0,0.0,0.0,0.0
42,도토리묵말이,기타,기타,1300.0,g,462.39,89.7,6.3,8.5,2.74,0.16,0.0,6.8,1186.1,14.4,683.64,0.0,15.14,0.0,0.0,0.08,0.0,58.09,0.0,164.34,115.24,3206.03,521.96,78.82,0.004,1.2,0.25,1.05,36.48
43,라조기,튀김류,육류튀김,200.0,g,398.99,26.23,0.15,23.49,8.7,1.0,0.0,20.66,127.05,2.83,421.44,0.0,0.0,0.0,0.08,0.45,4.38,0.0,0.0,72.17,214.25,648.52,320.32,0.0,0.022,0.0,0.0,0.0,0.0
44,물회,회류,회류,700.0,g,529.36,55.3,20.0,18.9,3.46,0.16,1.2,34.4,583.5,15.1,1131.71,0.0,8.27,3.04,0.42,0.22,10.91,51.12,0.0,212.11,463.43,2095.9,1119.8,119.79,0.002,2.17,0.23,0.7,77.71
45,생선물회,회류,회류,800.0,g,577.97,82.5,52.0,12.3,1.82,0.31,0.82,34.3,660.9,11.2,2116.41,0.0,7.05,16.04,0.16,0.2,2.0,70.86,4.31,185.95,474.27,2779.74,1212.76,128.24,0.003,1.8,0.42,1.09,100.38
46,소고기샤브샤브,찌개 및 전골류,육류찌개.전골,600.0,g,263.75,14.7,2.4,9.8,0.59,0.14,0.01,29.1,542.1,9.6,829.68,0.0,2.99,0.0,0.24,0.22,2.35,114.41,0.0,95.99,254.18,1122.4,663.21,52.7,0.003,8.32,0.23,0.43,31.07
47,오징어순대,찜류,어패류찜,350.0,g,466.86,58.3,0.4,5.6,0.61,0.13,0.96,45.7,235.1,4.4,852.07,0.0,3.06,0.0,0.0,0.05,0.0,47.89,0.0,78.43,603.0,1258.71,697.11,128.85,0.001,4.45,0.79,0.9,119.69
48,초당순두부,국 및 탕류,채소류국.탕,900.0,g,522.69,15.8,0.9,29.2,13.58,2.54,0.0,49.1,799.0,10.5,3.57,0.0,16.14,0.0,0.09,0.15,1.63,55.31,0.0,333.22,883.4,1203.36,1042.22,423.22,0.007,5.51,1.14,3.75,53.03
49,해파리냉채,생채및 무침류,어패류무침,150.0,g,91.0,13.4,11.4,1.4,0.3,0.0,0.0,6.2,127.1,2.1,88.09,0.0,0.88,0.09,0.1,0.04,0.13,11.78,0.34,44.36,74.66,508.77,113.4,16.8,0.001,0.44,0.11,0.09,0.02
50,고들빼기,김치류,김치,50.0,g,55.53,10.93,2.84,0.61,0.2,0.0,0.0,1.58,34.77,2.85,1018.65,0.0,1.37,0.0,0.04,0.06,0.53,0.0,0.0,25.64,24.85,742.43,125.56,17.01,0.002,0.22,0.08,0.21,0.0
51,열무얼갈이김치,김치류,김치,50.0,g,17.68,2.61,0.46,0.33,0.1,0.0,0.0,1.07,44.77,1.57,909.07,0.0,0.78,0.0,0.07,0.05,0.27,0.0,0.0,39.42,20.6,339.9,154.22,16.66,0.001,0.2,0.05,0.11,0.0
52,미나리나물,숙채류,나물.숙채류,50.0,g,29.53,2.24,0.0,1.83,0.7,0.1,0.0,1.02,44.16,1.77,894.39,0.0,1.38,0.0,0.0,0.03,0.0,24.2,0.0,38.84,27.45,150.33,119.16,11.96,0.0,0.14,0.03,0.48,2.53
53,취나물,숙채류,나물.숙채류,50.0,g,74.1,3.31,0.0,6.15,2.6,0.6,0.0,1.37,38.17,3.26,1315.35,0.0,2.14,0.32,0.0,0.03,0.0,4.68,0.0,74.62,21.6,281.86,63.59,13.84,0.001,0.26,0.06,0.62,4.9
54,콩나물,숙채류,나물.숙채류,50.0,g,25.34,0.94,0.02,1.65,0.7,0.2,0.0,1.68,45.02,1.53,37.6,0.0,1.84,0.0,0.0,0.03,0.0,17.47,0.0,18.5,27.76,213.95,40.57,10.96,0.0,0.15,0.03,0.15,2.41
55,경단(깨),곡류 및 서류,떡류,100.0,g,319.47,74.22,26.64,0.54,1.1,0.0,0.0,4.44,19.89,5.44,0.0,0.0,0.86,0.0,0.0,0.01,0.0,16.01,0.0,62.25,65.9,180.0,50.62,40.58,0.001,1.09,0.2,0.4,6.66
56,경단(콩),곡류 및 서류,떡류,100.0,g,314.32,74.03,20.55,0.46,0.2,0.0,0.0,3.51,21.25,2.43,0.0,0.0,0.58,0.0,0.0,0.01,0.43,11.22,0.0,10.41,44.16,225.83,69.38,16.31,0.001,0.6,0.08,0.29,3.39
57,기피편,곡류 및 서류,떡류,100.0,g,219.97,48.99,2.08,0.25,0.2,0.0,0.0,5.45,44.19,5.13,0.0,0.0,1.22,0.0,0.05,0.0,0.39,16.44,0.0,12.33,66.56,281.06,130.99,25.27,0.0,0.77,0.13,0.41,3.8
58,녹두시루떡,곡류 및 서류,떡류,100.0,g,246.07,48.08,4.05,2.53,1.5,0.3,0.0,7.74,40.25,4.9,0.0,0.0,2.04,0.0,0.13,0.02,0.37,43.39,0.0,25.81,110.21,263.66,250.86,40.9,0.001,1.02,0.17,0.64,2.78
59,메밀전병,곡류 및 서류,곡류 및 서류,100.0,g,167.83,21.62,0.62,6.29,2.3,0.5,0.0,6.18,64.57,3.53,116.33,0.0,1.69,1.71,0.12,0.03,0.02,14.92,0.0,35.64,87.29,345.8,159.14,36.74,0.001,0.86,0.08,0.37,6.44
60,무지개떡,곡류 및 서류,떡류,100.0,g,228.97,53.01,8.99,0.31,0.2,0.0,0.0,3.53,42.35,0.21,13.35,0.0,0.0,0.1,0.04,0.04,0.31,0.0,0.0,9.71,40.77,276.82,32.17,0.0,0.001,0.0,0.0,0.0,0.0
61,송편(깨),곡류 및 서류,떡류,100.0,g,224.15,44.96,1.15,2.74,1.2,0.1,0.0,4.92,46.37,4.82,163.38,0.0,1.5,0.0,0.01,0.04,0.67,16.58,0.0,70.51,83.55,231.82,86.43,31.91,0.001,0.93,0.18,0.61,7.29
62,송편(콩),곡류 및 서류,떡류,100.0,g,194.33,41.66,1.26,0.75,0.5,0.1,0.0,5.24,51.36,4.78,6.27,0.0,1.2,0.0,0.0,0.0,0.52,16.15,0.0,16.99,70.16,233.5,109.39,22.97,0.001,0.72,0.13,0.39,4.47
63,수수부꾸미,곡류 및 서류,곡류 및 서류,100.0,g,247.89,42.1,0.24,6.29,3.0,0.3,0.0,5.73,44.53,7.95,4.02,0.0,2.84,0.0,0.12,0.03,0.56,22.8,0.0,17.24,111.36,261.0,190.73,45.03,0.001,0.85,0.12,0.54,2.59
64,수수팥떡,곡류 및 서류,떡류,100.0,g,204.24,43.03,2.82,0.59,0.3,0.0,0.0,6.7,48.34,8.64,3.09,0.0,2.28,0.0,0.06,0.02,0.5,27.29,0.0,21.03,117.31,241.93,248.92,47.31,0.002,0.84,0.16,0.52,3.18
65,시루떡,곡류 및 서류,떡류,100.0,g,217.48,47.54,3.22,0.61,0.3,0.0,0.0,5.47,45.21,4.4,38.86,0.0,0.0,0.01,0.14,0.08,0.6,0.0,0.0,18.14,87.65,277.91,200.54,0.0,0.006,0.0,0.0,0.0,0.0
66,쑥떡,곡류 및 서류,떡류,100.0,g,248.63,57.89,10.72,0.4,0.3,0.0,0.0,3.36,37.51,2.45,63.17,0.0,0.59,0.0,0.01,0.0,0.06,13.52,0.0,16.67,41.23,254.32,75.27,13.48,0.001,0.6,0.1,0.33,2.66
67,절편,곡류 및 서류,떡류,100.0,g,192.89,43.94,0.07,0.28,0.2,0.0,0.0,3.64,51.35,0.43,16.49,0.0,0.0,0.64,0.01,0.0,0.13,0.0,0.0,9.62,39.11,265.87,30.58,0.0,0.003,0.0,0.0,0.0,0.0
68,찹쌀떡,곡류 및 서류,떡류,100.0,g,276.87,65.61,17.54,0.15,0.2,0.0,0.0,3.26,29.83,1.41,0.0,0.0,0.0,0.0,0.03,0.0,0.17,0.0,0.0,12.0,40.9,225.61,52.59,0.0,0.004,0.0,0.0,0.0,0.0
69,간자장,면 및 만두류,중식면류,650.0,g,824.54,134.22,12.16,22.03,12.5,1.0,0.0,22.33,463.24,28.57,135.3,0.0,0.0,0.0,0.23,0.5,5.37,0.0,0.0,116.47,234.71,2716.2,729.79,0.0,0.034,0.0,0.0,0.0,0.0
70,굴짬뽕,면 및 만두류,중식면류,900.0,g,680.67,115.69,1.7,9.6,2.6,0.3,0.2,32.87,732.03,8.61,868.07,0.0,8.31,1.95,0.0,0.38,15.01,0.0,0.0,444.79,351.34,2662.35,712.34,94.28,0.01,10.84,2.17,1.67,0.0
71,기스면,면 및 만두류,중식면류,1000.0,g,606.93,89.79,0.5,10.72,1.8,0.1,0.1,37.82,853.15,6.87,308.67,0.0,6.22,1.61,0.0,0.3,6.63,0.0,0.0,340.44,336.68,2764.59,464.56,56.1,0.006,2.1,0.29,0.77,0.0
72,김치라면,면 및 만두류,라면류,650.0,g,552.0,86.2,1.2,16.9,2.3,0.1,0.0,13.8,525.0,8.2,824.25,0.0,6.82,0.0,0.57,1.58,2.03,62.0,1.58,291.83,211.24,2531.6,590.13,53.75,0.002,1.04,0.14,0.73,36.53
73,김치우동,면 및 만두류,중식면류,800.0,g,500.18,99.14,2.13,4.6,1.4,0.1,0.0,15.55,672.01,9.01,798.2,0.0,3.5,1.33,0.17,0.07,4.21,0.0,0.0,114.43,149.18,2874.6,472.03,43.25,0.002,0.69,0.24,0.63,0.0
74,냉김치말이국수,면 및 만두류,국수류,600.0,g,302.53,52.0,8.3,4.8,1.06,0.15,0.01,12.9,522.9,4.6,823.46,0.0,2.31,1.66,0.65,0.18,0.24,107.45,2.86,130.19,175.44,2121.62,595.84,97.21,0.002,1.04,0.37,0.64,37.62
75,닭칼국수,면 및 만두류,국수류,900.0,g,663.0,94.7,5.3,12.8,2.0,0.2,0.0,42.2,743.0,9.8,331.97,0.0,2.74,0.83,0.32,0.31,1.27,83.54,0.0,85.36,367.52,2125.17,710.63,83.99,0.002,2.21,0.19,0.73,0.05
76,둘깨칼국수,면 및 만두류,국수류,600.0,g,457.88,59.8,1.4,16.5,2.38,8.29,0.01,17.6,501.0,8.3,161.12,0.0,9.64,4.01,0.4,0.09,0.75,79.19,1.94,176.6,384.42,1192.57,550.58,153.17,0.003,2.37,0.82,1.02,34.96
77,막국수,면 및 만두류,국수류,1000.0,g,571.59,109.8,9.4,5.8,1.55,0.19,0.0,20.0,855.9,14.6,154.49,0.0,4.61,0.0,0.0,0.19,0.0,76.83,0.0,113.24,273.04,3260.05,436.76,136.83,0.004,1.79,0.4,1.56,37.13
78,삼선우동,면 및 만두류,중식면류,1000.0,g,691.66,105.9,0.8,8.48,1.6,0.1,0.3,47.94,828.72,8.47,646.7,0.0,6.91,2.77,1.01,0.35,10.72,0.0,0.0,212.09,453.33,2722.32,516.58,123.52,0.005,3.83,0.74,1.04,0.0
79,삼선자장면,면 및 만두류,중식면류,700.0,g,803.9,126.53,10.15,18.14,6.8,0.7,0.2,33.64,513.78,10.81,105.24,0.0,9.57,4.88,1.3,0.08,13.05,0.0,0.0,120.73,301.58,2628.24,640.49,86.4,0.007,2.3,0.46,1.42,0.0
80,삼선짬뽕,면 및 만두류,중식면류,900.0,g,662.37,101.73,1.09,10.77,3.7,0.4,0.2,39.63,738.22,7.69,1506.64,0.0,11.26,9.23,1.11,0.34,18.32,0.0,0.0,400.51,357.52,2689.13,659.59,115.62,0.008,3.35,0.84,1.18,0.0
81,쌀국수,면 및 만두류,국수류,600.0,g,320.32,55.1,4.3,4.2,0.33,0.04,0.0,15.6,520.4,1.6,104.52,0.0,0.95,0.37,0.08,0.06,1.81,42.22,1.34,41.12,133.23,1651.58,253.26,36.11,0.002,2.9,0.23,0.41,20.7
82,열무김치국수,면 및 만두류,국수류,800.0,g,431.0,69.6,18.6,10.2,1.2,0.1,0.0,15.0,694.9,9.2,2006.71,0.0,4.22,1.09,1.06,0.26,1.61,145.7,0.0,257.24,187.9,3007.45,869.8,127.85,0.002,1.95,0.31,1.15,0.04
83,열무냉면,면 및 만두류,중식면류,800.0,g,525.49,97.52,27.15,5.78,1.6,0.1,0.0,20.84,665.82,40.72,1316.47,0.0,0.0,0.02,1.4,0.7,2.97,0.0,0.0,177.78,226.48,3152.37,628.73,0.0,0.038,0.0,0.0,0.0,0.0
84,오일소스스파게티,면 및 만두류,스파게티류,400.0,g,646.74,89.42,1.41,23.43,4.5,0.4,0.0,19.56,263.26,11.13,161.92,0.0,8.49,0.35,0.13,0.19,3.59,0.0,0.0,111.09,290.48,1124.33,468.83,80.07,0.003,2.05,0.43,1.14,0.0
85,올갱이국수,면 및 만두류,국수류,1500.0,g,566.0,111.6,18.6,8.3,4.11,0.57,0.0,11.2,1358.0,22.2,838.81,0.0,6.98,9.48,0.43,0.19,4.95,88.9,0.0,245.1,262.24,3862.84,802.41,132.63,0.003,1.63,0.24,0.92,35.6
86,우동(일식),면 및 만두류,중식면류,700.0,g,421.51,74.2,2.48,7.91,2.6,0.2,0.0,13.39,597.97,20.21,258.39,0.0,0.0,0.0,0.42,0.27,3.14,0.0,0.0,79.1,114.18,2390.32,169.61,0.0,0.033,0.0,0.0,0.0,0.0
87,우동(중식),면 및 만두류,중식면류,1000.0,g,648.47,85.37,1.1,21.02,3.3,0.4,0.4,29.45,854.28,22.17,567.89,0.0,0.0,0.0,0.14,0.67,2.74,0.0,0.0,188.22,329.14,3395.86,461.64,0.0,0.037,0.0,0.0,0.0,0.0
88,울면,면 및 만두류,중식면류,1000.0,g,728.86,128.18,0.5,7.37,1.8,0.1,0.3,37.46,818.09,7.59,465.21,0.0,5.75,0.39,0.0,0.26,12.99,0.0,0.0,292.43,375.37,2799.92,554.66,88.4,0.006,2.29,0.6,1.06,0.0
89,자장면,면 및 만두류,중식면류,650.0,g,796.5,133.63,7.8,20.32,9.8,0.8,0.0,19.77,469.45,21.75,60.85,0.0,0.0,0.0,0.85,0.42,4.62,0.0,0.0,81.92,199.4,2391.58,462.09,0.0,0.024,0.0,0.0,0.0,0.0
90,짬뽕라면,면 및 만두류,라면류,750.0,g,689.0,92.0,1.6,26.3,4.6,0.3,0.1,21.3,601.1,8.6,1523.18,0.0,10.7,0.0,1.33,1.58,2.1,66.77,1.58,586.78,304.28,2493.81,660.05,84.18,0.003,1.61,0.22,1.04,70.2
91,치즈라면,면 및 만두류,라면류,600.0,g,595.0,80.0,0.9,23.0,2.5,0.1,0.0,16.8,473.0,8.0,623.4,0.0,9.46,0.0,0.66,1.72,0.78,87.85,1.72,337.25,387.16,2113.4,362.05,39.25,0.001,1.34,0.08,0.57,91.99
92,크림소스스파게티,면 및 만두류,스파게티류,400.0,g,837.57,73.76,9.17,50.59,4.0,0.4,0.0,21.79,249.53,4.76,399.57,0.0,6.44,0.2,0.83,0.53,3.69,0.0,0.0,241.45,411.17,1030.21,523.07,62.34,0.002,2.24,0.34,0.66,0.0
93,토마토소스스파게티,면 및 만두류,스파게티류,500.0,g,642.58,93.2,15.6,19.15,4.2,0.4,0.0,24.35,356.8,7.34,1252.08,0.0,11.32,0.17,0.87,0.33,9.36,0.0,0.0,214.54,373.19,1508.63,1094.45,93.04,0.003,2.71,0.43,1.03,0.0
94,해물칼국수,면 및 만두류,국수류,900.0,g,628.26,123.9,3.81,4.61,1.6,0.6,0.0,22.8,741.01,44.91,157.14,0.0,0.0,0.0,0.93,0.43,2.64,0.0,0.0,128.74,209.62,2355.07,536.87,0.0,0.028,0.0,0.0,0.0,0.0
