식품명,식품대분류,식품상세분류,1회제공량,내용량_단위,에너지(㎉),탄수화물(g),총당류(g),지방(g),리놀레산(18:2(n-6)c)(g),알파 리놀렌산(18:3(n-3))(g),EPA+DHA(g),단백질(g),수분(g),총 식이섬유(g),비타민 A(㎍),비타민 D3(㎍),비타민 E(㎎),비타민 C(㎎),비타민 B1(㎎),비타민 B2(㎎),나이아신(㎎),엽산(DFE)(㎍),비타민 B12(㎍),칼슘(㎎),인(㎎),나트륨(㎎),칼륨(㎎),마그네슘(㎎),철(㎎),철(㎍),아연(㎎),구리(㎎),망간(㎎),셀레늄(㎍)
볶음밥,밥류,볶음밥류,350.0,g,640.48,118.88,0.0,9.67,4.42,0.43,0.02,19.47,199.05,5.79,1281.97,0.0,7.15,14.47,0.42,0.12,0.38,48.69,0.0,47.21,215.06,743.58,347.89,23.51,1.83,0.0,3.51,0.3,1.23,24.64
불고기덮밥,밥류,덮밥류,400.0,g,728.18,107.84,0.28,21.25,1.14,0.04,0.0,26.39,240.62,11.03,26.66,0.0,2.34,0.0,0.65,0.24,0.0,17.63,1.81,24.61,291.54,1011.43,552.67,38.82,3.27,0.0,8.48,0.29,1.35,40.07
비빔밥,밥류,비빔밥류,450.0,g,637.54,84.76,0.22,19.44,5.67,0.49,0.01,30.89,309.9,8.98,3509.3900000000003,0.0,15.3,9.09,1.51,0.26,0.0,182.66,1.88,138.63,355.95,1041.85,809.07,81.03,4.66,0.0,9.41,0.45,1.64,36.26
새우볶음밥,밥류,볶음밥류,370.0,g,635.75,84.54,2.63,22.7,9.95,1.06,0.09000000000000001,23.33,237.19,5.97,1173.24,0.0,12.53,15.24,0.01,0.37,3.76,135.21,0.89,45.1,230.47,538.64,239.84,28.27,1.28,0.0,2.17,0.26,0.82,42.28
생선모듬초밥,밥류,김밥(초밥)류,380.0,g,607.45,101.52,5.32,6.06,0.81,0.05,0.76,36.71,232.44,7.46,3.87,2.32,2.82,0.0,1.2,0.1,150.8,44.13,1.65,54.21,403.06,540.96,609.92,58.64,0.26,0.0,2.52,0.38,0.78,138.47
쇠머리국밥,밥류,기타 밥류,1000.0,g,239.21,27.04,0.0,7.53,0.83,0.1,0.01,15.83,945.28,6.2,114.43,0.0,5.21,26.12,2.17,0.37,0.37,43.36,1.56,71.93,98.07,1392.24,236.89,29.46,44.8,0.0,1.6,0.28,0.28,84.08
쇠고기김밥,밥류,김밥(초밥)류,250.0,g,447.51,64.44,0.07,13.9,2.91,0.15,0.01,16.16,153.01,3.63,816.62,0.0,4.58,6.84,0.23,0.14,0.0,51.21,1.78,75.82,160.52,666.69,240.89,28.99,2.18,0.0,3.97,0.31,0.74,23.35
쇠고기볶음밥,밥류,볶음밥류,260.0,g,456.99,56.58,0.22,16.86,4.64,0.26,0.01,19.74,164.44,5.39,439.31,0.0,4.69,12.49,0.1,0.33,17.73,58.68,0.96,45.58,223.96,560.18,435.01,34.15,1.6,0.0,3.68,0.21,0.8,21.6
쇠고기주먹밥,밥류,김밥(초밥)류,200.0,g,355.16,69.45,0.45,4.36,1.09,0.06,0.0,9.52,114.6,3.0,0.79,0.0,1.94,0.0,0.0,0.12,2.57,28.81,0.67,17.15,91.26,713.2,137.06,18.81,0.58,0.0,2.04,0.23,0.6,9.66
수수밥,밥류,쌀밥.잡곡밥류,200.0,g,321.89,70.04,0.15,1.83,0.29,0.01,0.0,6.31,121.51,2.28,0.0,0.0,0.72,0.16,0.02,0.02,0.32,4.89,0.0,7.69,50.57,2.55,52.98,12.0,0.34,0.0,1.34,0.21,0.55,1.09
순대국밥,밥류,기타 밥류,900.0,g,673.09,93.46,1.51,20.56,2.2,0.13,0.06,28.56,753.1,11.33,492.9,0.0,3.52,1.89,0.56,0.22,0.0,59.34,0.0,76.92,282.82,1137.58,303.41,52.2,5.99,0.0,6.35,0.5,0.75,39.52
알밥,밥류,기타 밥류,330.0,g,422.13,51.99,7.6,16.86,3.64,0.12,0.04,15.61,240.3,11.55,1539.57,0.0,3.98,8.72,1.25,0.12,0.0,23.55,6.38,141.93,199.74,1418.08,421.66,47.55,1.45,0.0,2.47,0.13,0.57,50.49
영양돌솥밥,밥류,기타 밥류,350.0,g,643.16,126.22,2.22,10.03,2.16,0.25,0.0,12.02,201.02,7.46,433.2,0.0,6.03,0.0,0.11,0.11,0.76,30.35,0.0,30.35,111.16,21.94,126.52,24.1,1.68,0.0,4.0,0.43,1.03,7.26
오므라이스,밥류,볶음밥류,400.0,g,692.71,82.14,12.76,28.91,6.36,0.61,0.1,25.98,257.28,9.63,1716.03,0.0,9.16,268.95,0.55,0.41,1.97,213.4,1.54,77.12,370.13,1730.11,652.18,48.95,3.36,0.0,3.67,0.6,0.82,69.64
오징어덮밥,밥류,덮밥류,360.0,g,484.59,79.0,2.37,7.24,1.44,0.16,0.33,25.85,244.98,9.47,1942.91,0.0,3.58,0.0,0.01,0.07,0.05,43.32,2.06,29.55,280.66,582.23,485.03,62.3,0.8,0.0,2.58,0.36,0.96,39.37
완두콩밥,밥류,쌀밥.잡곡밥류,200.0,g,276.32,62.49,0.0,0.31,0.17,0.01,0.0,5.89,129.22,3.81,27.0,0.0,0.64,0.05,0.0,0.01,0.61,9.76,0.0,87.63,63.77,590.06,139.11,10.27,0.67,0.0,2.12,0.12,0.12,8.77
유부초밥,밥류,김밥(초밥)류,200.0,g,388.54,59.63,3.97,11.53,3.99,0.49,0.0,11.56,114.87,5.22,540.97,0.0,4.319999999999999,8.5,0.0,0.05,0.03,59.53,0.0,91.78,134.35,771.26,113.41,42.89,1.17,0.0,1.54,0.21,0.86,12.09
육회비빔밥,밥류,비빔밥류,300.0,g,442.29,68.76,13.36,10.07,1.97,0.12,0.0,19.16,197.22,7.75,1280.22,0.0,5.19,0.0,0.25,0.12,0.0,42.31,1.63,83.93,286.37,1337.23,532.99,70.72,2.68,0.0,7.41,0.27,1.07,26.2
잡곡밥,밥류,쌀밥.잡곡밥류,200.0,g,292.6,58.65,0.64,1.74,0.86,0.07,0.0,10.59,127.87,12.19,2.79,0.0,2.15,0.0,0.31,0.25,0.0,29.35,0.0,34.6,221.09,5.29,313.76,70.62,2.65,0.0,1.86,0.43,1.2,0.9
잡채밥,밥류,덮밥류,550.0,g,825.15,141.85,0.3,18.81,3.45,0.3,0.0,22.11,362.01,16.73,7770.92,0.0,6.11,23.72,3.61,0.23,0.46,94.62,0.4,88.01,258.14,1247.22,812.75,74.1,4.27,0.0,4.65,0.3,1.46,21.2
제육덮밥,밥류,덮밥류,470.0,g,949.76,79.22,9.3,50.63,8.95,0.59,0.25,44.3,291.4,6.66,1622.68,0.0,4.5,0.0,1.5,0.75,72.05,67.74,0.59,51.76,474.5,819.84,920.66,70.55,2.28,0.0,6.21,0.49,1.06,51.23
짜장밥,밥류,덮밥류,470.0,g,572.62,73.17,0.16,22.18,5.25,0.63,0.02,20.08,349.8,9.77,594.7,0.0,9.47,18.54,1.04,1.26,1.94,53.11,0.0,53.58,229.42,1109.91,641.79,48.33,1.92,0.0,2.57,0.34,1.13,20.13
짬뽕밥,밥류,기타 밥류,900.0,g,647.7,104.86,12.04,12.56,5.15,0.64,0.32,28.81,745.21,12.73,1316.37,0.0,12.34,24.22,2.19,0.38,3.9,145.5,3.25,118.81,472.79,2105.68,1238.01,134.55,6.0,0.0,3.2,0.63,1.27,108.74
차조밥,밥류,쌀밥.잡곡밥류,200.0,g,313.24,69.71,0.07,1.3,0.36,0.02,0.0,5.67,122.97,3.64,0.0,0.0,0.54,1.59,0.05,0.02,0.0,9.82,0.0,7.68,60.83,2.81,53.19,16.32,0.64,0.0,2.56,0.16,0.57,1.53
찰밥,밥류,쌀밥.잡곡밥류,280.0,g,429.7,93.97,1.37,0.51,0.26,0.03,0.0,12.3,171.89,8.11,0.0,0.0,4.32,2.58,0.02,0.05,0.0,57.8,0.0,30.13,156.78,9.35,470.7,58.71,0.61,0.0,2.5,0.35,1.49,1.68
참치김밥,밥류,김밥(초밥)류,250.0,g,435.04,50.65,1.77,18.05,6.3,0.77,0.13,17.5,160.51,4.51,1723.5,0.0,14.08,7.65,0.57,0.17,0.0,62.6,1.45,128.42,182.79,837.43,306.75,31.9,1.81,0.0,2.43,0.46,0.69,40.14
참치마요삼각김밥,밥류,김밥(초밥)류,200.0,g,398.7,50.89,0.0,16.41,5.98,0.74,0.08,11.86,119.23,5.64,538.61,0.0,15.52,4.36,0.0,0.11,0.0,21.38,1.64,19.33,115.81,460.22,151.27,24.19,0.76,0.0,1.15,0.21,0.52,38.73
참치볶음밥,밥류,볶음밥류,230.0,g,412.97,75.68,0.27,7.52,3.33,0.35,0.04,10.63,131.96,3.7,205.97,0.0,4.67,0.42,0.0,0.03,0.53,14.02,0.5,35.45,106.53,1450.92,151.61,19.83,0.26,0.0,1.74,0.21,0.71,25.24
